"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2023","1,513.19","1,513.19","1,513.19","1,513.19","","0.33%"
"12/07/2023","1,508.23","1,508.23","1,508.23","1,508.23","","0.18%"
"12/06/2023","1,505.45","1,505.45","1,505.45","1,505.45","","-0.36%"
"12/05/2023","1,510.92","1,510.92","1,510.92","1,510.92","","0.82%"
"12/04/2023","1,498.58","1,498.58","1,498.58","1,498.58","","0.28%"
"12/01/2023","1,494.45","1,494.45","1,494.45","1,494.45","","-0.08%"
"11/30/2023","1,495.58","1,495.58","1,495.58","1,495.58","","-0.83%"
"11/29/2023","1,508.06","1,508.06","1,508.06","1,508.06","","-0.32%"
"11/28/2023","1,512.96","1,512.96","1,512.96","1,512.96","","0.28%"
